arrangement,source_page,label,x,y,size,type,confidence
15-18,3,B,32.91,15.81,20,signal,high
15-18,3,J,9.47,22.66,20,signal,high
15-18,3,T,16.13,22.66,20,signal,high
15-18,3,U,22.83,22.66,20,signal,high
15-18,3,P,29.43,22.66,20,signal,high
15-18,3,C,36.09,22.66,20,signal,high
15-18,3,H,12.6,29.43,20,signal,high
15-18,3,S,19.4,29.43,20,signal,high
15-18,3,R,26.19,29.43,20,signal,high
15-18,3,D,32.99,29.43,20,signal,high
15-18,3,G,15.9,35.41,20,signal,high
15-18,3,F,22.83,35.41,20,signal,high
15-18,3,E,29.88,35.41,20,signal,high
15-19,3,M,16.11,9.21,20,signal,high
15-19,3,A,22.34,9.21,20,signal,high
15-19,3,B,29.62,9.21,20,signal,high
15-19,3,L,11.78,16.06,20,signal,high
15-19,3,N,19.17,16.06,20,signal,high
15-19,3,P,26.56,16.06,20,signal,high
15-19,3,C,33.95,16.06,20,signal,high
15-19,3,K,8.39,22.91,20,signal,high
15-19,3,U,15.63,22.91,20,signal,high
15-19,3,V,22.87,22.91,20,signal,high
15-19,3,R,30.1,22.91,20,signal,high
15-19,3,D,37.35,22.91,20,signal,high
15-19,3,J,11.72,29.76,20,signal,high
15-19,3,T,19.15,29.76,20,signal,high
15-19,3,S,26.58,29.76,20,signal,high
15-19,3,E,34.01,29.76,20,signal,high
15-19,3,H,16.11,36.62,20,signal,high
15-19,3,G,22.96,36.62,20,signal,high
15-19,3,F,29.62,36.62,20,signal,high
15-35,3,18,18.61,8.5,22D,signal,high
15-35,3,1,26.56,8.74,22D,signal,high
15-35,3,17,14.52,10.34,22D,signal,high
15-35,3,2,31.11,10.67,22D,signal,high
15-35,3,3,35.0,14.21,22D,signal,high
15-35,3,19,26.05,14.26,22D,signal,high
15-35,3,16,11.23,14.31,22D,signal,high
15-35,3,30,18.82,14.68,22D,signal,high
15-35,3,20,30.05,16.76,22D,signal,high
15-35,3,29,15.41,17.48,22D,signal,high
15-35,3,15,8.56,18.61,22D,signal,high
15-35,3,4,37.41,19.15,22D,signal,high
15-35,3,36,20.58,19.47,22D,signal,high
15-35,3,31,25.57,19.47,22D,signal,high
15-35,3,21,32.15,20.85,22D,signal,high
15-35,3,28,13.85,21.45,22D,signal,high
15-35,3,32,28.09,23.03,22D,signal,high
15-35,3,35,18.31,23.05,22D,signal,high
15-35,3,14,8.18,23.59,22D,signal,high
15-35,3,37,23.21,23.65,22D,signal,high
15-35,3,5,37.67,24.27,22D,signal,high
15-35,3,22,32.19,25.51,22D,signal,high
15-35,3,27,13.64,25.87,22D,signal,high
15-35,3,34,20.68,27.88,22D,signal,high
15-35,3,33,25.47,27.92,22D,signal,high
15-35,3,13,9.28,28.37,22D,signal,high
15-35,3,6,36.36,29.25,22D,signal,high
15-35,3,23,30.01,29.67,22D,signal,high
15-35,3,26,16.14,30.09,22D,signal,high
15-35,3,24,26.07,32.33,22D,signal,high
15-35,3,25,20.44,32.56,22D,signal,high
15-35,3,12,11.84,32.78,22D,signal,high
15-35,3,7,33.53,33.4,22D,signal,high
15-35,3,11,15.33,35.82,22D,signal,high
15-35,3,8,29.26,36.26,22D,signal,high
15-35,3,10,19.64,37.67,22D,signal,high
15-35,3,9,24.95,37.69,22D,signal,high
15-97,3,A,26.81,8.89,20,signal,high
15-97,3,K,18.69,8.94,20,signal,high
15-97,3,L,18.32,14.25,16,signal,high
15-97,3,J,11.73,16.32,20,signal,high
15-97,3,B,35.02,16.53,20,signal,high
15-97,3,H,9.98,21.67,20,signal,high
15-97,3,C,35.91,23.37,16,signal,high
15-97,3,M,25.06,25.92,16,signal,high
15-97,3,D,32.06,30.36,20,signal,high
15-97,3,G,12.09,30.67,16,signal,high
15-97,3,E,25.36,34.67,20,signal,high
15-97,3,F,19.53,34.7,20,signal,high
17-2,3,22,24.12,8.44,22D,signal,high
17-2,3,1,29.58,8.66,22D,signal,high
17-2,3,21,20.01,9.62,22D,signal,high
17-2,3,2,33.64,10.36,22D,signal,high
17-2,3,20,16.86,11.83,22D,signal,high
17-2,3,3,37.13,13.05,22D,signal,high
17-2,3,19,13.56,14.53,22D,signal,high
17-2,3,38,23.4,15.02,22D,signal,high
17-2,3,23,27.85,15.02,22D,signal,high
17-2,3,4,39.97,16.2,22D,signal,high
17-2,3,37,19.92,16.49,22D,signal,high
17-2,3,24,31.87,16.74,22D,signal,high
17-2,3,18,11.19,18.31,22D,signal,high
17-2,3,36,16.88,19.4,22D,signal,high
17-2,3,25,35.02,19.9,22D,signal,high
17-2,3,5,41.86,19.94,22D,signal,high
17-2,3,17,9.03,23.26,22D,signal,high
17-2,3,35,14.94,23.3,22D,signal,high
17-2,3,26,36.36,24.03,22D,signal,high
17-2,3,6,42.7,24.42,22D,signal,high
17-2,3,39,26.0,25.94,8 Twinax,twinax,high
17-2,3,34,14.81,27.58,22D,signal,high
17-2,3,27,36.24,28.18,22D,signal,high
17-2,3,16,8.81,28.2,22D,signal,high
17-2,3,7,42.04,29.59,22D,signal,high
17-2,3,33,16.15,31.72,22D,signal,high
17-2,3,28,34.81,32.08,22D,signal,high
17-2,3,15,10.42,33.21,22D,signal,high
17-2,3,8,40.19,34.11,22D,signal,high
17-2,3,32,19.08,34.89,22D,signal,high
17-2,3,29,31.86,35.49,22D,signal,high
17-2,3,31,23.04,36.94,22D,signal,high
17-2,3,30,27.84,37.06,22D,signal,high
17-2,3,14,13.31,37.6,22D,signal,high
17-2,3,9,37.8,38.17,22D,signal,high
17-2,3,10,33.13,41.06,22D,signal,high
17-2,3,13,17.75,41.17,22D,signal,high
17-2,3,12,22.51,42.47,22D,signal,high
17-2,3,11,28.36,42.48,22D,signal,high
17-6,3,A,32.39,13.32,12,signal,high
17-6,3,E,19.12,13.32,12,signal,high
17-6,3,D,12.15,25.6,12,signal,high
17-6,3,F,25.62,25.6,12,signal,high
17-6,3,B,38.93,25.6,12,signal,high
17-6,3,C,25.62,39.75,12,signal,high
17-8,3,A,26.18,11.24,16,signal,high
17-8,3,G,16.81,19.88,16,signal,high
17-8,3,B,34.81,20.0,16,signal,high
17-8,3,H,26.18,28.39,16,signal,high
17-8,3,F,11.42,31.38,16,signal,high
17-8,3,C,40.82,31.63,16,signal,high
17-8,3,D,32.68,38.77,16,signal,high
17-8,3,E,18.81,38.89,16,signal,high
17-22,3,A,26.57,15.21,8 Coax,coax,high
17-22,3,D,12.93,26.72,12 Coax,coax,high
17-22,3,B,38.78,26.72,12 Coax,coax,high
17-22,3,C,26.57,37.39,8 Coax,coax,high
17-26,3,A,25.52,8.6,20,signal,high
17-26,3,B,32.43,9.66,20,signal,high
17-26,3,R,18.66,9.7,20,signal,high
17-26,3,C,38.55,13.82,20,signal,high
17-26,3,P,13.08,13.99,20,signal,high
17-26,3,T,29.68,16.04,20,signal,high
17-26,3,S,21.8,16.09,20,signal,high
17-26,3,D,42.04,20.49,20,signal,high
17-26,3,N,9.82,20.55,20,signal,high
17-26,3,U,34.82,20.66,20,signal,high
17-26,3,a,16.33,20.84,20,signal,high
17-26,3,b,25.47,21.9,20,signal,high
17-26,3,M,9.07,28.2,20,signal,high
17-26,3,V,35.38,28.24,20,signal,high
17-26,3,E,43.13,28.28,20,signal,high
17-26,3,Z,15.99,28.31,20,signal,high
17-26,3,c,25.64,29.32,20,signal,high
17-26,3,W,32.38,33.78,20,signal,high
17-26,3,Y,19.05,33.88,20,signal,high
17-26,3,F,41.01,34.6,20,signal,high
17-26,3,L,10.92,34.73,20,signal,high
17-26,3,X,25.62,37.38,20,signal,high
17-26,3,G,35.89,39.92,20,signal,high
17-26,3,K,15.32,40.04,20,signal,high
17-26,3,H,29.05,42.75,20,signal,high
17-26,3,J,22.16,42.8,20,signal,high
17-35,3,25,26.42,12.0,22D,signal,high
17-35,3,17,22.11,12.9,22D,signal,high
17-35,3,32,30.71,13.04,22D,signal,high
17-35,3,40,34.72,14.8,22D,signal,high
17-35,3,10,17.97,15.09,22D,signal,high
17-35,3,18,22.13,16.76,22D,signal,high
17-35,3,47,38.71,16.79,22D,signal,high
17-35,3,33,30.71,16.81,22D,signal,high
17-35,3,4,14.0,16.87,22D,signal,high
17-35,3,26,26.35,18.77,22D,signal,high
17-35,3,41,34.69,18.78,22D,signal,high
17-35,3,11,17.96,19.0,22D,signal,high
17-35,3,19,22.11,20.41,22D,signal,high
17-35,3,48,38.71,20.49,22D,signal,high
17-35,3,5,14.0,20.49,22D,signal,high
17-35,3,34,30.7,20.51,22D,signal,high
17-35,3,27,26.42,22.56,22D,signal,high
17-35,3,53,43.34,22.56,22D,signal,high
17-35,3,1,8.83,22.57,22D,signal,high
17-35,3,42,34.69,22.57,22D,signal,high
17-35,3,12,18.0,22.82,22D,signal,high
17-35,3,20,22.12,23.93,22D,signal,high
17-35,3,49,38.72,24.01,22D,signal,high
17-35,3,6,14.01,24.01,22D,signal,high
17-35,3,35,30.72,24.02,22D,signal,high
17-35,3,43,34.72,26.08,22D,signal,high
17-35,3,28,26.42,26.09,22D,signal,high
17-35,3,54,43.34,26.09,22D,signal,high
17-35,3,2,8.83,26.1,22D,signal,high
17-35,3,13,18.0,26.33,22D,signal,high
17-35,3,21,22.12,27.89,22D,signal,high
17-35,3,50,38.72,27.97,22D,signal,high
17-35,3,7,14.01,27.97,22D,signal,high
17-35,3,36,30.71,27.98,22D,signal,high
17-35,3,55,43.35,29.89,22D,signal,high
17-35,3,29,26.43,29.89,22D,signal,high
17-35,3,3,8.85,29.9,22D,signal,high
17-35,3,44,34.72,29.9,22D,signal,high
17-35,3,14,18.0,30.15,22D,signal,high
17-35,3,22,22.14,31.78,22D,signal,high
17-35,3,51,38.73,31.87,22D,signal,high
17-35,3,8,14.02,31.87,22D,signal,high
17-35,3,37,30.73,31.88,22D,signal,high
17-35,3,45,34.72,33.99,22D,signal,high
17-35,3,30,26.4,34.02,22D,signal,high
17-35,3,15,17.97,34.26,22D,signal,high
17-35,3,23,22.12,35.56,22D,signal,high
17-35,3,52,38.72,35.64,22D,signal,high
17-35,3,9,14.01,35.64,22D,signal,high
17-35,3,38,30.71,35.65,22D,signal,high
17-35,3,31,26.42,37.85,22D,signal,high
17-35,3,46,34.72,37.86,22D,signal,high
17-35,3,16,17.97,38.1,22D,signal,high
17-35,3,24,22.12,39.16,22D,signal,high
17-35,3,39,30.67,39.24,22D,signal,high
17-99,3,A,26.73,8.04,20,signal,high
17-99,3,R,20.99,8.96,20,signal,high
17-99,3,B,33.32,9.79,20,signal,high
17-99,3,P,14.53,13.68,20,signal,high
17-99,3,C,39.11,14.02,20,signal,high
17-99,3,T,29.84,16.59,20,signal,high
17-99,3,S,23.06,16.67,20,signal,high
17-99,3,N,9.57,18.91,20,signal,high
17-99,3,D,42.66,20.07,20,signal,high
17-99,3,Y,17.18,21.15,20,signal,high
17-99,3,U,35.96,21.56,20,signal,high
17-99,3,Z,26.73,24.33,16,signal,high
17-99,3,M,8.41,25.96,20,signal,high
17-99,3,E,43.49,27.45,20,signal,high
17-99,3,V,35.8,29.44,20,signal,high
17-99,3,X,17.35,29.86,20,signal,high
17-99,3,L,9.98,33.18,20,signal,high
17-99,3,W,26.73,33.71,16,signal,high
17-99,3,F,41.51,34.34,20,signal,high
17-99,3,K,13.79,38.98,20,signal,high
17-99,3,G,36.71,39.64,20,signal,high
17-99,3,J,21.48,42.8,20,signal,high
17-99,3,H,29.34,43.21,20,signal,high
19-11,3,A,34.57,13.75,16,signal,high
19-11,3,J,23.75,13.79,16,signal,high
19-11,3,H,13.66,23.61,16,signal,high
19-11,3,B,44.78,23.65,16,signal,high
19-11,3,K,29.08,25.07,16,signal,high
19-11,3,G,12.42,33.12,16,signal,high
19-11,3,C,46.35,33.14,16,signal,high
19-11,3,L,29.05,35.33,16,signal,high
19-11,3,F,17.86,41.37,16,signal,high
19-11,3,D,40.09,41.39,16,signal,high
19-11,3,E,29.08,47.82,16,signal,high
19-18,3,R,26.89,9.86,22D,signal,high
19-18,3,A,32.71,9.86,22D,signal,high
19-18,3,S,29.77,12.43,22D,signal,high
19-18,3,P,21.53,21.78,8 Twinax,twinax,high
19-18,3,B,38.17,21.87,8 Twinax,twinax,high
19-18,3,N,9.65,26.86,22D,signal,high
19-18,3,C,49.68,26.87,22D,signal,high
19-18,3,T,29.78,27.68,22D,signal,high
19-18,3,M,12.07,29.64,22D,signal,high
19-18,3,D,47.26,29.66,22D,signal,high
19-18,3,U,29.8,31.47,22D,signal,high
19-18,3,E,49.68,32.41,22D,signal,high
19-18,3,L,9.65,32.42,22D,signal,high
19-18,3,F,38.25,37.51,8 Twinax,twinax,high
19-18,3,K,21.52,37.55,8 Twinax,twinax,high
19-18,3,H,29.8,47.55,22D,signal,high
19-18,3,J,26.92,50.1,22D,signal,high
19-18,3,G,32.72,50.1,22D,signal,high
19-28,3,T,26.01,9.87,20,signal,high
19-28,3,A,34.32,10.34,20,signal,high
19-28,3,S,18.85,12.7,20,signal,high
19-28,3,B,40.19,13.67,20,signal,high
19-28,3,U,29.63,16.55,20,signal,high
19-28,3,R,13.43,17.88,20,signal,high
19-28,3,C,45.42,18.51,20,signal,high
19-28,3,d,22.88,19.74,20,signal,high
19-28,3,V,36.94,19.86,20,signal,high
19-28,3,P,10.61,24.39,20,signal,high
19-28,3,W,41.07,24.98,20,signal,high
19-28,3,c,18.57,25.01,20,signal,high
19-28,3,D,48.44,25.65,20,signal,high
19-28,3,e,29.63,26.55,16,signal,high
19-28,3,N,9.67,31.29,20,signal,high
19-28,3,b,17.92,31.84,20,signal,high
19-28,3,X,40.85,31.96,20,signal,high
19-28,3,E,48.77,32.91,20,signal,high
19-28,3,M,12.07,38.35,20,signal,high
19-28,3,Y,37.75,38.36,20,signal,high
19-28,3,a,21.53,38.79,20,signal,high
19-28,3,F,46.14,39.1,20,signal,high
19-28,3,Z,29.63,39.13,16,signal,high
19-28,3,G,42.6,43.87,20,signal,high
19-28,3,L,15.86,43.9,20,signal,high
19-28,3,H,36.31,47.66,20,signal,high
19-28,3,K,21.87,48.19,20,signal,high
19-28,3,J,28.93,49.11,20,signal,high
19-31,3,V,19.63,14.57,22D,signal,high
19-31,3,A,40.46,14.57,22D,signal,high
19-31,3,f,29.61,17.35,12,signal,high
19-31,3,W,18.8,19.16,22D,signal,high
19-31,3,C,41.22,19.16,22D,signal,high
19-31,3,U,14.04,19.82,22D,signal,high
19-31,3,B,45.77,19.84,22D,signal,high
19-31,3,h,17.74,29.94,8 Coax,coax,high
19-31,3,g,41.87,29.94,8 Coax,coax,high
19-31,3,N,26.14,40.44,22D,signal,high
19-31,3,K,33.21,40.44,22D,signal,high
19-31,3,S,17.05,42.21,22D,signal,high
19-31,3,E,42.13,42.23,22D,signal,high
19-31,3,R,22.47,44.19,22D,signal,high
19-31,3,M,36.68,44.21,22D,signal,high
19-32,3,T,26.33,9.77,20,signal,high
19-32,3,A,33.34,9.77,20,signal,high
19-32,3,B,39.91,12.36,20,signal,high
19-32,3,S,19.2,12.38,20,signal,high
19-32,3,U,29.45,16.65,20,signal,high
19-32,3,R,14.06,17.3,20,signal,high
19-32,3,C,45.04,17.33,20,signal,high
19-32,3,e,22.7,18.8,20,signal,high
19-32,3,V,36.36,18.8,20,signal,high
19-32,3,P,11.0,23.7,20,signal,high
19-32,3,D,48.45,23.72,20,signal,high
19-32,3,f,29.44,23.99,20,signal,high
19-32,3,d,17.8,24.61,20,signal,high
19-32,3,W,40.86,24.62,20,signal,high
19-32,3,j,24.39,29.49,20,signal,high
19-32,3,g,34.45,29.49,20,signal,high
19-32,3,N,10.47,31.56,20,signal,high
19-32,3,c,17.27,31.56,20,signal,high
19-32,3,E,48.68,31.58,20,signal,high
19-32,3,X,41.83,31.58,20,signal,high
19-32,3,h,29.44,34.45,20,signal,high
19-32,3,b,19.8,37.66,20,signal,high
19-32,3,Y,38.98,37.66,20,signal,high
19-32,3,F,46.59,38.32,20,signal,high
19-32,3,M,12.27,38.35,20,signal,high
19-32,3,Z,32.74,41.24,20,signal,high
19-32,3,a,25.75,41.25,20,signal,high
19-32,3,L,15.9,44.18,20,signal,high
19-32,3,G,42.28,44.2,20,signal,high
19-32,3,H,36.06,48.15,20,signal,high
19-32,3,K,21.89,48.16,20,signal,high
19-32,3,J,29.46,49.68,20,signal,high
19-35,3,25,27.27,11.52,22D,signal,high
19-35,3,34,31.43,11.68,22D,signal,high
19-35,3,17,22.82,13.19,22D,signal,high
19-35,3,43,35.8,13.39,22D,signal,high
19-35,3,10,18.86,15.14,22D,signal,high
19-35,3,51,39.89,15.35,22D,signal,high
19-35,3,26,27.28,15.42,22D,signal,high
19-35,3,35,31.43,15.67,22D,signal,high
19-35,3,4,14.62,17.69,22D,signal,high
19-35,3,18,22.81,17.84,22D,signal,high
19-35,3,44,35.81,18.04,22D,signal,high
19-35,3,58,43.94,18.16,22D,signal,high
19-35,3,11,18.85,19.96,22D,signal,high
19-35,3,27,27.27,20.25,22D,signal,high
19-35,3,36,31.42,20.31,22D,signal,high
19-35,3,52,39.9,20.5,22D,signal,high
19-35,3,5,14.62,22.58,22D,signal,high
19-35,3,45,35.79,22.6,22D,signal,high
19-35,3,19,22.82,22.65,22D,signal,high
19-35,3,59,43.95,22.73,22D,signal,high
19-35,3,12,18.85,24.77,22D,signal,high
19-35,3,37,31.42,24.8,22D,signal,high
19-35,3,28,27.26,24.88,22D,signal,high
19-35,3,53,39.88,25.06,22D,signal,high
19-35,3,64,48.23,25.3,22D,signal,high
19-35,3,1,10.36,25.44,22D,signal,high
19-35,3,20,22.81,27.13,22D,signal,high
19-35,3,60,43.91,27.37,22D,signal,high
19-35,3,46,35.72,27.42,22D,signal,high
19-35,3,6,14.63,27.58,22D,signal,high
19-35,3,54,39.88,29.38,22D,signal,high
19-35,3,13,18.62,29.5,22D,signal,high
19-35,3,2,10.37,29.59,22D,signal,high
19-35,3,29,27.25,29.7,22D,signal,high
19-35,3,38,31.43,29.78,22D,signal,high
19-35,3,65,48.23,29.8,22D,signal,high
19-35,3,7,14.64,31.72,22D,signal,high
19-35,3,61,43.93,31.85,22D,signal,high
19-35,3,21,22.79,32.03,22D,signal,high
19-35,3,47,35.79,32.24,22D,signal,high
19-35,3,3,10.38,33.74,22D,signal,high
19-35,3,66,47.98,34.38,22D,signal,high
19-35,3,14,18.86,34.39,22D,signal,high
19-35,3,30,27.26,34.51,22D,signal,high
19-35,3,55,39.89,34.52,22D,signal,high
19-35,3,39,31.41,34.67,22D,signal,high
19-35,3,8,14.64,36.71,22D,signal,high
19-35,3,62,43.93,36.9,22D,signal,high
19-35,3,48,35.8,36.98,22D,signal,high
19-35,3,22,22.83,37.02,22D,signal,high
19-35,3,31,27.27,39.33,22D,signal,high
19-35,3,40,31.43,39.42,22D,signal,high
19-35,3,56,39.89,39.43,22D,signal,high
19-35,3,15,18.84,39.46,22D,signal,high
19-35,3,63,43.93,41.4,22D,signal,high
19-35,3,23,22.8,41.75,22D,signal,high
19-35,3,9,14.64,41.76,22D,signal,high
19-35,3,49,35.8,41.87,22D,signal,high
19-35,3,41,31.43,43.89,22D,signal,high
19-35,3,32,27.25,43.9,22D,signal,high
19-35,3,16,18.86,44.02,22D,signal,high
19-35,3,57,39.88,44.24,22D,signal,high
19-35,3,50,35.64,46.01,22D,signal,high
19-35,3,24,22.83,46.65,22D,signal,high
19-35,3,42,31.43,48.45,22D,signal,high
19-35,3,33,27.26,48.63,22D,signal,high
21-11,3,J,27.75,14.36,12,signal,high
21-11,3,A,42.0,14.36,12,signal,high
21-11,3,H,15.8,23.61,12,signal,high
21-11,3,B,53.0,23.61,12,signal,high
21-11,3,K,34.0,26.11,12,signal,high
21-11,3,C,55.3,36.86,12,signal,high
21-11,3,G,12.3,37.11,12,signal,high
21-11,3,L,34.05,40.36,12,signal,high
21-11,3,D,48.05,48.61,12,signal,high
21-11,3,F,20.3,48.86,12,signal,high
21-11,3,E,34.05,54.11,12,signal,high
21-16,3,L,27.42,14.31,16,signal,high
21-16,3,A,41.47,14.31,16,signal,high
21-16,3,K,18.12,21.27,16,signal,high
21-16,3,B,49.92,21.27,16,signal,high
21-16,3,M,34.02,23.25,16,signal,high
21-16,3,S,25.08,30.21,16,signal,high
21-16,3,N,42.46,30.21,16,signal,high
21-16,3,J,14.15,31.7,16,signal,high
21-16,3,C,53.89,31.7,16,signal,high
21-16,3,R,28.55,41.63,16,signal,high
21-16,3,P,39.48,41.63,16,signal,high
21-16,3,H,15.64,42.13,16,signal,high
21-16,3,D,51.4,42.13,16,signal,high
21-16,3,E,43.45,50.58,16,signal,high
21-16,3,G,23.58,50.58,16,signal,high
21-16,3,F,34.02,54.06,16,signal,high
21-29,3,1,36.84,11.32,20,signal,high
21-29,3,19,29.87,11.35,20,signal,high
21-29,3,2,43.73,13.2,20,signal,high
21-29,3,18,22.98,13.22,20,signal,high
21-29,3,3,49.8,18.23,20,signal,high
21-29,3,17,16.94,18.23,20,signal,high
21-29,3,25,26.9,22.76,12,signal,high
21-29,3,20,40.19,22.76,12,signal,high
21-29,3,16,16.94,25.5,20,signal,high
21-29,3,4,49.77,25.5,20,signal,high
21-29,3,15,11.44,30.17,20,signal,high
21-29,3,5,55.32,30.19,20,signal,high
21-29,3,26,38.16,33.13,16,signal,high
21-29,3,27,28.63,33.3,16,signal,high
21-29,3,24,19.6,33.38,16,signal,high
21-29,3,21,46.94,33.38,16,signal,high
21-29,3,14,12.05,37.53,20,signal,high
21-29,3,6,54.95,37.59,20,signal,high
21-29,3,13,17.02,42.57,20,signal,high
21-29,3,7,49.82,42.57,20,signal,high
21-29,3,23,26.9,44.68,12,signal,high
21-29,3,22,40.19,44.68,12,signal,high
21-29,3,8,48.66,49.59,20,signal,high
21-29,3,12,18.15,49.61,20,signal,high
21-29,3,10,33.38,52.14,20,signal,high
21-29,3,9,39.97,54.64,20,signal,high
21-29,3,11,26.87,54.69,20,signal,high
21-35,3,28,30.85,9.73,22D,signal,high
